fecha,vertical,dominio,estado,bytes,formularios,campos_email,gtm,ga4,meta_pixel,linkedin_pixel,google_ads,hubspot,chat,whatsapp,mailto_generico,titulo
2026-08-27,academias,maestromio.org,OK,52376,0,0,0,0,0,0,0,0,tidio,1,0,Formex - Education for Life
2026-08-27,academias,aprendeinglestoday.com,OK,243359,2,1,1,1,1,0,0,0,,1,1,AprendeInglesToday | AIT Language School | Método Callan
2026-08-27,academias,grupoalce.com,OK,137023,1,1,1,0,0,0,0,0,,0,0,Inicio - Grupo Alce
2026-08-27,academias,formacionh2o.es,OK,189437,0,0,1,0,0,0,1,0,,1,1,Centro De Formación Profesional H2O
2026-08-27,academias,laemadrid.com,OK,3903568,1,5,1,0,0,0,0,0,,1,0,LAE Madrid | On-Site Spanish Language School and Online
2026-08-27,academias,olelanguages.com,OK,88783,0,0,1,1,0,0,0,0,,0,0,"Spanish Courses in Barcelona - Spain, One of the best schools."
2026-08-27,academias,uptownenglish.es,OK,95532,2,0,0,0,0,0,0,0,,1,1,La teva acadèmia d&#039;anglès a Horta - Uptown English
2026-08-27,academias,eco7.cat,OK,136001,0,0,0,0,0,0,0,0,,0,0,ECO7 - Escola d’idiomes a Manresa - Aprendre Noves Llengües
2026-08-27,academias,mls-idiomes.com,OK,99273,1,0,0,0,0,0,0,0,,0,0,Escuela de idiomas en Martorell
2026-08-27,academias,okay-school.es,OK,91781,0,0,0,0,0,0,0,0,,0,0,Inicio - Okay School of Language
2026-08-27,academias,osullivanspro.com,OK,113382,0,0,1,0,0,0,0,0,,0,0,"O&#039;Sullivans &#8211; The Language School &#8211; Cursos intensivos ingles, f"
2026-08-27,academias,jaleomadrid.com,OK,5470,0,0,0,0,0,0,0,0,,0,0,Just a moment...
2026-08-27,academias,tandemsansebastian.com,OK,59298,0,0,0,0,0,0,0,0,,0,1,TANDEM San Sebastián - Spanish Courses in Spain
2026-08-27,academias,colegiodelibes.com,OK,43272,0,0,0,0,0,0,0,0,,0,0,"Spanish courses in Salamanca, Spain. Learn spanish at Colegio Delibes"
2026-08-27,academias,vamosmadrid.net,BLOQUEADA_O_CAIDA,169,,,,,,,,,,,,
2026-08-27,academias,aprendiom.com,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,academias,stepinenglish.com,OK,469930,0,0,1,1,0,0,0,0,,0,0,Escuela de idiomas en Cornellà - Clases de inglés y más
2026-08-27,academias,international-academies.com,OK,232910,1,1,0,0,0,0,0,0,,0,0,Home - International Academies
2026-08-27,academias,idnerja.com,OK,202922,2,1,1,1,0,0,0,0,,0,1,Spanish language school in Spain - Learn Spanish - Escuela de español - | LEARN 
2026-08-27,academias,peekaboo.es,BLOQUEADA_O_CAIDA,169,,,,,,,,,,,,
2026-08-27,academias,talktalkidiomas.com,OK,968113,1,1,1,0,0,0,0,0,,0,1,TalkTalk idiomas | Academia de idiomas | Academia inglés Madrid
2026-08-27,academias,ihvalladolid.com,OK,414790,0,0,1,0,0,0,0,0,,0,0,Academia de Inglés en Valladolid | International House
2026-08-27,academias,english4you.es,BLOQUEADA_O_CAIDA,0,,,,,,,,,,,,
2026-08-27,academias,englishonthecorner.com,OK,124331,1,1,1,1,0,0,0,0,,0,1,| English On The Corner | Academia de inglés en Zaragoza
2026-08-27,academias,elison.es,OK,62607,0,0,1,0,1,0,0,0,,0,1,Escuela de idiomas en Sant Feliu de Llobregat | Baix Llobregat
2026-08-27,academias,astonschool.es,OK,242515,2,2,1,1,0,0,0,0,,0,0,Aston School | Academia de inglés e idiomas en Barcelona Sarriá
2026-08-27,academias,tourbel.com,BLOQUEADA_O_CAIDA,169,,,,,,,,,,,,
2026-08-27,academias,babelidiomas.es,OK,105756,1,2,1,0,0,0,0,0,,0,0,Academia de inglés en Málaga - BABEL IDIOMAS
